,聯邦商業銀行,陽信商業銀行,板信商業銀行,王道商業銀行,花旗(台灣)商業銀行,上海商業儲蓄銀行,第七商業銀行,台新國際商業銀行,中華商業銀行,臺東區中小企業銀行,樂天國際商業銀行,臺灣中小企業銀行,瑞興商業銀行,台中商業銀行,永豐商業銀行,澳盛(台灣)商業銀行,星展(台灣)商業銀行
2021年4月,0.7087883515340614,0.8159041394335512,0.7248322147651006,0.4154727793696275,0.6593731519810763,0.3019223520542782,,0.14841772151898736,,,,0.7555645487656819,1.59375,0.7230646448523543,0.6960514233241506,,0.42204568023833167
2021年5月,0.9255102040816326,0.8640776699029126,0.7655601659751037,0.3981244671781756,0.5354000837871805,0.5007396449704142,,0.6003058883507519,,,,0.7220588235294118,0.8467741935483871,0.85553772070626,1.012238452427951,,0.507399577167019
2021年6月,0.09302325581395349,0.7221727515583259,0.718562874251497,-0.040268456375838924,-1.4782608695652173,0.4434941967012828,,0.27681198181331906,,,,0.72646404744255,0.7121212121212122,0.5781792911744267,0.16972682489923868,,0.8810240963855421
2021年7月,0.39001560062402496,0.7922848664688428,0.723175965665236,0.12205044751830757,0.2320730117340287,0.37435619409053944,,0.4863340563991323,,,,0.695865451997197,1.0333333333333334,0.7442550037064493,0.26841305998481396,,0.528835690968444
2021年8月,0.6059874456784162,0.822401614530777,0.7157258064516129,0.3013923013923014,0.5269050198627664,0.4372523117569353,,0.2934516917535057,,,,0.6573069559668155,0.7902097902097902,0.6779411764705883,0.5017226528854436,,0.6345514950166113
2021年9月,0.6829268292682927,0.8320158102766798,0.7398058252427184,0.2177734375,-0.19399707174231332,0.4009163802978236,,0.29622716971070523,,,,0.6624584717607973,0.5870967741935483,0.6177777777777778,0.3536231884057971,,0.5588526211671613
2021年10月,0.3960597826086957,0.8119918699186992,0.7236842105263158,0.42047531992687387,0.6097430406852249,0.4620667102681491,,0.24894091415830547,,,,0.6897033158813264,1.1403508771929824,0.6132140399174123,0.5567426400759734,,0.3658838071693449
2021年11月,0.516728624535316,0.8058058058058059,0.7731755424063116,0.04914004914004914,0.38885730528709495,0.4776742691937038,,0.21460401053271216,,,,0.7350620067643743,0.7954545454545454,0.5629060838747785,0.4448775055679287,,0.7609710550887021
2021年12月,0.5985235661555934,0.7905405405405406,0.7120181405895691,0.39275500476644426,0.515625,0.4807073954983923,,0.43504950495049505,,,,0.7296703296703296,0.7125,0.6271656271656272,0.7385534173855341,,0.3696969696969697
2022年1月,0.3779562695225346,0.7881040892193308,0.7345794392523365,0.05781865965834428,0.17786760990399192,0.46017191977077365,,0.25007814942169426,,,,0.6991951710261569,0.8248175182481752,0.6592214422463306,0.3491689750692521,,0.5580016934801016
2022年2月,0.25406824146981627,0.8059548254620124,0.7369668246445498,0.12629070691024621,0.013704686118479222,0.46643478260869564,,0.2715391447785814,,,,0.7001055966209081,0.860655737704918,0.7198795180722891,0.5004587155963303,,0.540090771558245
2022年3月,0.023609314359637774,0.7667844522968198,0.6353383458646616,-0.04922279792746114,0.0041462495288352805,0.39437837837837836,,0.15398269358775238,,,,0.8110445775116434,0.8013698630136986,0.5433846153846154,0.10265786170386945,,0.18461538461538463
2022年4月,0.7241379310344828,0.81044650379107,0.806049822064057,-0.15037893897088153,-0.036288814066591846,0.47836395969176054,,0.11967944719036422,,,,0.8967025572005384,0.821917808219178,0.4636471990464839,0.11686159382546522,,0.4889705882352941
2022年5月,9.037037037037036,0.8072787427626137,0.7464788732394366,0.49854227405247814,2.443258971871969,0.5718015665796344,,1.3526570048309179,,,,0.7830882352941176,1.0145985401459854,0.674433249370277,1.9334811529933482,,1.799498746867168
2022年6月,0.5785920925747348,0.7912509593246354,0.7811501597444089,-0.15513536742587022,0.33715798764342453,0.5853889943074004,,1.1014432989690721,,,,0.8182342758222735,0.7913669064748201,0.6067039106145251,0.30966103350590996,,0.6596715328467153
2022年7月,0.32292967124427796,0.7944785276073619,0.7081260364842454,0.25755079626578803,0.5808625336927223,0.4836453404649249,,-2.197326543602801,,,,0.6751281425433244,0.8771929824561403,0.5445843828715365,0.5105735805330244,,0.6208445642407907
2022年8月,0.39418293149636435,0.8501118568232662,0.7955882352941176,0.04586717630195891,0.4830028328611898,0.48097826086956524,,0.2271165475536009,,,,0.7636597938144329,0.7093023255813954,0.4821991888237945,0.21272571986334798,,0.6370157819225251
2022年9月,0.09626604434072346,0.8301329394387001,0.7626628075253257,-0.17788018433179723,0.5101363803907114,0.48166472642607683,,0.8528084252758275,,,,0.7335203366058906,0.7647058823529411,0.6255230125523012,0.14317253559995585,,0.3223684210526316
2022年10月,0.751421188630491,0.8770250368188512,0.7884322678843226,0.1074743527112848,1.0618593142453163,0.6264455596770674,,0.1271438741829008,,,,0.5522051282051282,0.7833333333333333,0.5822155986090413,0.43761283851554666,,0.390452876376989
2022年11月,4.348448687350835,0.8737075332348597,0.9274447949526814,2.376093294460641,0.42250169952413325,0.5256309148264984,,1.2793872793872794,,,,0.7526048624098317,1.0962962962962963,0.6522148916116871,-1.0747643060732295,,0.21654501216545013
2022年12月,0.5866666666666667,0.8963117606123869,0.8729446935724963,0.15731636784268363,0.6729559748427673,0.5926108374384237,,0.22670474830417708,,,,0.6877177700348432,0.7023255813953488,0.7594533029612757,4.463299131807419,,0.22571290478492026
