,慶豐商業銀行,三信商業銀行,花蓮區中小企業銀行,中央信託局,中國農民銀行,台北富邦商業銀行,高雄區中小企業銀行,連線商業銀行,台中商業銀行,中華商業銀行,王道商業銀行,臺灣中小企業銀行,中國信託商業銀行,玉山商業銀行,凱基商業銀行,瑞興商業銀行,安泰商業銀行,聯邦商業銀行,臺北國際商業銀行,華泰商業銀行,星展(台灣)商業銀行,合作金庫銀行,大眾商業銀行,交通銀行,國泰世華商業銀行,第一商業銀行,兆豐國際商業銀行,元大商業銀行,台新國際商業銀行,花旗(台灣)商業銀行,臺東區中小企業銀行,華南商業銀行,高雄銀行,陽信商業銀行,第七商業銀行,將來商業銀行,臺灣新光商業銀行,上海商業儲蓄銀行,日盛國際商業銀行,彰化商業銀行,臺灣銀行,中華開發工業銀行,臺灣土地銀行,渣打國際商業銀行,澳盛(台灣)商業銀行,樂天國際商業銀行,匯豐(台灣)商業銀行,遠東國際商業銀行,京城商業銀行,板信商業銀行,中國輸出入銀行,永豐商業銀行
2018年9月,,0.3121279538211773,,,,0.3722414576852675,,,0.14881577812236627,,0.03395174607396571,0.16392126535196744,0.37934339092062075,0.24247725110779075,0.2394977243221023,0.19936983700591787,0.3279674610449129,0.3261312641910858,,0.12134441719992824,0.4314668022463082,0.273603636402264,,,0.2731676245971032,0.21869337579771514,0.1444931817023343,0.32868566251466613,0.36234919627444473,0.5865532913432516,,0.2760746624007199,0.19804144195288106,0.12555914591649242,,,0.34711707406462555,0.19797414027192492,0.31039396836803673,0.2069904129948333,0.2971883977604287,,0.44053037073702833,0.586721014099979,,,0.5820325687099547,0.3951441608992144,0.07197250362695591,0.1689809026178286,,0.28974719195380955
2018年10月,,0.30940623767638836,,,,0.37324162377944176,,,0.14862422527264232,,0.035035101382513936,0.16306153367078852,0.36278832218011225,0.24453270984881834,0.24505824505824506,0.20092487925187544,0.33039399036703476,0.3286791605349787,,0.12072340933508416,0.4115741899391994,0.273618356259592,,,0.2731043408431158,0.2200495857220093,0.1446050732850107,0.3285029993984337,0.3581152911004372,0.5842143410562095,,0.2766557890908455,0.19340322282733413,0.12638036030658445,,,0.3453651378493756,0.2003892011211316,0.3138858058946849,0.20815621688751984,0.29244507966799865,,0.4395853248391656,0.5994682234194113,,,0.6023895086311817,0.397876276227171,0.06967578731256645,0.1676929149398066,,0.2869993503652538
2018年11月,,0.3092210266179272,,,,0.3762589615610591,,,0.1487043574222735,,0.0369744152921093,0.1653049242547208,0.3631579447118943,0.24667771482147952,0.24429601099106532,0.2043302890342536,0.3296255752299623,0.33774786921414285,,0.1159280854072726,0.4083268014364097,0.27343174032350415,,,0.27231636956353006,0.22051786001594575,0.14487995273133766,0.32506267639620057,0.3628723451941445,0.5847406841603557,,0.27717837228383724,0.19438441268246992,0.12764651144942968,,,0.34836409060092777,0.20055178083936692,0.3053815020236846,0.20954045715486527,0.2860910323241026,,0.4406532179820111,0.6018007625307896,,,0.5785282943686065,0.40657353807035185,0.06946563482288928,0.16429214450663432,,0.28528643121845704
2018年12月,,0.30913953068436845,,,,0.36859219709368807,,,0.15023852600130544,,0.03883932495385427,0.1646672329323411,0.37849229314856875,0.24733657831318012,0.24365645067305486,0.20784895876892198,0.33176116146793755,0.3477034710433706,,0.11237459712197558,0.4358202379203995,0.2760965579159245,,,0.2699804096926694,0.21976363634220875,0.1445226827349926,0.32422221249493877,0.37115703898780555,0.5863787324095957,,0.27130651609722745,0.19175879065988957,0.12743949417705078,,,0.34934361841406886,0.20089607968760417,0.32115802565294405,0.21381644151584867,0.28169893213969793,,0.44084005278554117,0.5954659484853969,,,0.5612417767847857,0.405149982306043,0.0732996487051258,0.16585604700505957,,0.2880677264299488
2019年1月,,0.308425909219785,,,,0.3840580313850686,,,0.15027402794733746,,0.04032113310379714,0.1599244849262163,0.3610466234708778,0.24804842113289124,0.241567056944408,0.20694160537795292,0.3342339006211828,0.34128020996823005,,0.11133773379803436,0.42183664674249094,0.27114128533844306,,,0.2598801573791753,0.22019757422560302,0.14667649816391906,0.32630563347567404,0.36349481133421474,0.5975410891975707,,0.2741098222948807,0.19172386264095712,0.12717085591256014,,,0.35002419733723317,0.20053259618933217,0.3157924048439695,0.21564780084755433,0.2678109583464136,,0.44431567236950215,0.6015470086996909,,,0.5600459810061018,0.40637856051404614,0.07399008820706972,0.16660315081677077,,0.2812784887636364
2019年2月,,0.30605580160959556,,,,0.3807718905826569,,,0.14992573053548502,,0.04184949934818184,0.15920130929358856,0.3642009029619403,0.24985755433712414,0.24326706665648085,0.20489916587477564,0.3346997025933237,0.333244082376734,,0.1097531111556357,0.4186307770972594,0.27115757170165716,,,0.26358562136429015,0.2213077845382858,0.14645237596158756,0.3251379512505887,0.3622553460364345,0.6042831218270093,,0.27515819389985663,0.1910197742463322,0.1273028950680856,,,0.35114301420614735,0.2024369766304308,0.3146309936854865,0.21463039373382753,0.26547821546941724,,0.4470933024540653,0.5977481578423284,,,0.56856376841105,0.4079155922500059,0.07221489481175809,0.1659928180221143,,0.281288741848165
2019年3月,,0.30610829323275673,,,,0.38015774920469003,,,0.15203717194690738,,0.04382944471151159,0.15664818896235447,0.37921260509686144,0.25240779436795213,0.24069889739025913,0.20442153056245094,0.3315427522708761,0.3304445410804214,,0.11003339163619018,0.41181328967557684,0.26843245717126973,,,0.2598819883857977,0.22135342480177125,0.1470338283111057,0.32551235895196745,0.3639772958600975,0.59962427238057,,0.27496892646769255,0.18877714715611757,0.12461287744449162,,,0.3468965457128662,0.20044389755856343,0.31550117997764254,0.21070155932040843,0.26386280219412983,,0.44744214691403245,0.6003248259860788,,,0.5847403321074334,0.40374550531562237,0.07299173988876823,0.16352686160632468,,0.2783900060288647
2019年4月,,0.30476041503728035,,,,0.37286771818627035,,,0.1515759566722898,,0.04602458554189692,0.15543087080960072,0.3643523705121392,0.2563556343659093,0.24439730943006988,0.20373378335618605,0.3309477716451108,0.33140439508440844,,0.10588919847370953,0.4139066248385311,0.2700509980699599,,,0.25960280990261003,0.22278979217722086,0.1489044679843736,0.3263652405636874,0.35986163411692257,0.618447419626521,,0.27889822901748795,0.18715387001019007,0.12316505770375144,,,0.34767867731696256,0.20116412709005302,0.31119731535359135,0.20989144445189506,0.26825730098426864,,0.4486693143867395,0.592028708167572,,,0.5932870427511981,0.40838257595565547,0.07257802932512494,0.16507320944043413,,0.2803265259545749
2019年5月,,0.3044317835863089,,,,0.36230639325998404,,,0.15310431768042862,,0.048970133011564505,0.15478169321347376,0.35845868380666174,0.2576128350510937,0.24110299383231482,0.20407024793388429,0.32771322745953624,0.3307206255167467,,0.10542811566200094,0.41635974240594037,0.26623674844935236,,,0.25930749326534447,0.2228702691029669,0.1476803876610176,0.326628403795523,0.3550877394207191,0.6084683808814338,,0.27459704140581265,0.18885962072929804,0.12300308199078783,,,0.3465336603149677,0.20021009788205066,0.31045209201677054,0.21142440665296205,0.27890358805191917,,0.4487393103448276,0.5888075324702378,,,0.5928983499622998,0.409437422346957,0.07200549121006544,0.16286515864428955,,0.27791269470891133
2019年6月,,0.30349356357382345,,,,0.35600905636264774,,,0.15482355829782976,,0.049282874106960056,0.1533232277448377,0.3762096744967135,0.2605861839920292,0.23877600393761,0.20506008338101855,0.32227573389820346,0.33344691290718276,,0.10284868664446911,0.4229448331196245,0.2682318573257711,,,0.2691693904197851,0.22492659760466283,0.14702350345032134,0.3247319166987311,0.354086092016747,0.5921971503699627,,0.27353209458106964,0.18956411719186864,0.1221629185163007,,,0.34805875692193144,0.19977496654071578,0.3046652874063857,0.20601980812015563,0.2840091838330947,,0.44941304241102964,0.592286376706654,,,0.6134889286126167,0.4105019832137889,0.07107772129895441,0.16324079692556634,,0.28377585506298375
2019年7月,,0.3020023066850508,,,,0.3576993292255436,,,0.15476472625840915,,0.05536187113857017,0.15208076309167834,0.36273043732756255,0.26173445003627654,0.24517801541344378,0.20117905675459632,0.3273085037325544,0.334984958894886,,0.10112385479888307,0.41660713690857337,0.2664581580576177,,,0.26941048504744664,0.22665134859431246,0.1492210248739658,0.3291797181429692,0.35259983906403985,0.6014898961775006,,0.2741019954286208,0.1887863773563415,0.1216614779616582,,,0.3475618304479694,0.20000435582162365,0.3059245523907955,0.20553568001558217,0.2852390033236564,,0.4541835108104406,0.6133768176391905,,,0.608675,0.4095502804998927,0.07519947826202693,0.15865689760353954,,0.28944229136532296
2019年8月,,0.3055851017454533,,,,0.35606729646615926,,,0.15537435137138622,,0.0586160063601431,0.15184884097618734,0.35980892308098333,0.2638368651941176,0.24566653142187359,0.2052241056886047,0.3187516631678543,0.3378890432738274,,0.09947601586989463,0.4115964219518092,0.26543361743256305,,,0.26799616669498133,0.2275765067610626,0.14939208927620232,0.3281604337466729,0.34997218261798235,0.5988648773359994,,0.27112345193510407,0.18871535138479872,0.12046412992254432,,,0.3488822191967557,0.20242634978691532,0.3042946863995547,0.2060435108220194,0.2816133777642435,,0.45468423291635063,0.6237336452013742,,,0.5938070864634838,0.40999923592186027,0.07428989031456953,0.1581140215716487,,0.29022496759237265
2019年9月,,0.3052724507455903,,,,0.3552332285135408,,,0.15470488608839758,,0.0629933211900425,0.15152991354891054,0.372412103193684,0.26520877847571817,0.2449929198448231,0.20457407888686752,0.3179038914659282,0.3403037092357481,,0.09863769817968292,0.4241692936545046,0.26581288340017223,,,0.26963338155665956,0.2275145172442276,0.152004907750447,0.32778253948818414,0.3515962502063636,0.5937611142691257,,0.2704619656079433,0.1873730225763006,0.11915605176808235,,,0.35062252744429795,0.20364726740908384,0.3017537320162808,0.20536654547402583,0.27972639960238993,,0.4544518612797653,0.5968428440242042,,,0.5652051974105334,0.40546904385766946,0.07580691967884436,0.15797638541756442,,0.29353721007561046
2019年10月,,0.3069019255659156,,,,0.3548214457982608,,,0.1547157204317204,,0.0697679675403203,0.1507511456709334,0.36205398003977785,0.26773449990261944,0.2485476415961101,0.20749594813614264,0.32188135005203944,0.3415376135792031,,0.09870422265334962,0.4201788900751846,0.26745588109559537,,,0.27144613588550615,0.22859792229287765,0.15292009515668928,0.329182326026162,0.3561866100402374,0.6363491862679266,,0.27204107909258124,0.18698796832687758,0.11781005359486112,,,0.3507576453614001,0.20638005929902142,0.30561281404597923,0.20774778705019772,0.28117595405269374,,0.4541773724229671,0.6134185417769322,,,0.5680231038714864,0.4104913416295666,0.07579916253893683,0.15741646342218316,,0.2938006549148697
2019年11月,,0.30888274002731514,,,,0.35317143787884786,,,0.15403714931278964,,0.07613478202307727,0.14864916233550812,0.3629377673714233,0.26735521818169056,0.2511384910838321,0.20730138308137666,0.32795928517958434,0.33519867438043105,,0.09235474709379204,0.42570638288250945,0.2643855569444975,,,0.2710629128165556,0.22847527445792484,0.15369152983888337,0.3292100217118198,0.3544581150342932,0.6347073669805902,,0.26774412500586686,0.18930700833804245,0.11695816272981444,,,0.35060346771018747,0.20754119789375897,0.30302339805475936,0.21124279624220416,0.2942214968287153,,0.45417209533838226,0.6189426441448407,,,0.5843601944092048,0.40803851169194666,0.07454606399058925,0.1522740598040037,,0.2985040058519601
2019年12月,,0.31063701282552314,,,,0.35878024107921946,,,0.15486998157040174,,0.08328827623888038,0.15025551784687827,0.38050485912546583,0.26976925816556313,0.25721372944909143,0.20294709975872863,0.3252334134079596,0.33649820918924184,,0.09096722621902478,0.4462644889149708,0.2655260679332391,,,0.2764753729764046,0.22880221127442332,0.15466088513025208,0.329851909170245,0.35569474304736803,0.6184140850454493,,0.2643656924122804,0.18890292323464608,0.1142393700512241,,,0.34735854085310036,0.20842657644155557,0.302926267143531,0.21438880823693104,0.29851839534033275,,0.45653809355559705,0.6023407929392476,,,0.6073676979838681,0.4169482647055803,0.07540070305460729,0.1517980801375424,,0.31130529268782825
